Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Tree Search,Parallel MCTS,Two,Normal,28,86911,37,S28 S27 G S14 S34 G N33 N23 G N31 S32 G S06 N18 G N20 N35 G S18 S22 G S15 N12 G S08 N14 G S24,,N14 N31 N32 S22 S23 S24 S25 S09 S10 S02 S03 S13 S14
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,28,89495,11,N12 N17 G N08 N07 G S06 N02 G S10 S04 G S13 S19 G S01 N05 G N03 N04+ G N04+ S17 G S36 S18+ G N01,,N10 N02 N01 N05 N19 N18 N37 N36 S26 S27 S11 S10
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,30,90069,6,N11 N21 G S35 S34 G N16 S15 G S19 S32 G S31 N14 G N03 N30 G S30 N25 G N25 N23 G N22 S06 G S11 S28 G,N30 N29 N12 N11 N10 N09 N08 N23 N22 S32 S31 S30,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,31,92856,37,S28 N38 G N24 N18 G S06 S26 G S30 N38 G S04 S19 G N20 S38 G N38 S13 G S02 N13 G N15 N32 G S12 N20 G N11,N11 N12 N13 N03 N04 N16 N17 N18 N37 N38 S28 S27 S11,
Parallel MCTS Beeline,Monte Carlo Beeline 3,One,Normal,31,96932,17,N05 N29 G S23 S22 G S07 S03 G S40 S10 G S12 S27 G S22 S20 G S26 N37 G N15 S14 G N40 S13 G N15 S18 G N15,N15 N16 N04 N05 N19 N20 N39 N40 S30 S31 S14 S15,
Monte Carlo Beeline 4,Monte Carlo Beeline 3,One,Normal,31,97636,16,N19 N03 G S34 N25 G N30 N08 G N14 N31 G N15 S14 G N16 N24 G N22 N34 G N35 N16 G N23 N22 G N06 N23+ G S23,N23 N24 N25 N26 N27 N28 S38 S39 S40 S21 S22 S23,
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,33,101256,5,N02 N27 G N15 N29 G S15 N07 G S20 N09 G N13 N24 G N11+ S21 G N22 N21 G N18 N08 G N22 S08 G S07 S06 G N08 N07 G,,N07 N06 N20 N19 N18 N17 N35 N34 S24 S23 S08 S07
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,36,111323,16,N19 N05 G N39 N20 G S34 N05+ G N18 N20+ G S19 S06 G N22 N19+ G N08 N07 G N39 N40 G N40+ N32 G N07 N33 G N31 N07+ G S31 S12 G,,N07 N01 N02 N03 N13 N14 N31 N32 S22 S23 S08 S07
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,18,57810,64,S19 S09 G S15 S13 G N29 S04 G N05 S02 G S01 N08 G N22 S38 G,N12 N29 N28 S38 S39 S20 S19 S05 S01 S02 S03 S13 S12,
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,21,67327,48,S22 N17 G S11 N04 G S17 N15 G S14 N36 G N13 N38 G S27+ S36 G N24 S33 G,,N15 N16 N17 N18 N37 N38 S28 S29 S12 S13 S14 S15
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,21,67407,27,N27 S34 G N06 S19 G S10 S01 G S40 S06 G N19 N37 G S05 S08 G S07 S16 G,N10 N11 N27 N28 S38 S37 S18 S19 S20 S06 S07 S08 S09 S10,
Monte Carlo Tree Search,Parallel MCTS Beeline,Two,Normal,21,67450,72,S10 N21 G S03 S14 G N09 S33 G S20 N15 G N38 S35 G N32 S19 G N17 S19 G,,N06 N21 N22 N23 N24 S34 S35 S17 S16 S04 S05 S19 S20 S06
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,22,68438,26,N25 S01 G N34 S14 G N17 N16 G S33 S23 G N20 S25 G S09 N35 G S24 N21 G S24,,N04 N16 N15 N33 N34 S24 S25 S09 S10 S02 S01 S05 S04
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,22,68891,69,S01 S25 G N31 N30 G S12 S29 G S06 S31 G N23 N11 G N13 N27 G N20 N40 G S10,,N10 N11 N12 N13 N14 N15 N33 N34 S24 S25 S09 S10
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,22,69890,27,N27 S01 G S33 N33 G S03 S17 G S24 S08 G N22 S07+ G S08 N24 G N34 N35 G N24,,S24 S23 S08 S07 S01 S05 S19 S18 S17 S35 S34 N24
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,24,74144,19,N18 N39 G S09 S11 G S17 S28 G N10 S26 G S03 N38+ G N12 N08 G S27 S10 G N30 S13+ G,N16 N17 N35 N36 S26 S27 S11 S12 S13 S03 S04 S16,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,24,77056,69,S01 S22 G N11 N29 G S27 S11 G N05 N13 G S13 S39 G S18 N34 G N15 N26 G N19+ S30 G,,N18 N19 N05 N01 N02 N10 N11 N27 N26 S36 S37 S18
Monte Carlo Beeline 3,Monte Carlo Tree Search,One,Normal,25,77654,72,S10 S11 G S24 N33 G S31 S06 G N19 N36 G N08 N13 G N10 N38 G N39 N18+ G N29 N34 G N37,N15 N33 N34 N35 N36 N37 N38 N39 N40 S30 S31 S14 S15,
Parallel MCTS Beeline,Monte Carlo Tree Search,One,Normal,25,77919,46,S39 N28 G N32 S27 G S17 N24 G S12 N26 G S10 N09 G S01 S02 G N10 S01+ G N39 S03 G S02,N26 S36 S35 S17 S16 S04 S03 S02 S10 S09 S25 S26,
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,25,77946,58,S31 S13 G N18 N37 G S36 S35 G S26 N36 G N33 N34 G S25 N24 G N25 N23 G N35 N21 G N23,S36 N26 N25 N24 N23 N22 N21 N40 N39 N38 N37 N36,
